No Entidade Certificadora;Nu Ano;Nota Comp1;Nota Comp2;Nota Comp3;Nota Comp4;Nota Comp5;Nota Redacao;Q01;Q02;Q03;Q04;Q05;Q06;Q07;Q08;Q09;Q15;Q16;Q17;Q18;Q19;Q20;Q21;Q31;Q32;Q33;Q34;Q35;Q36;Q37;Q38;Q39;Q40;Q48;Sg Uf Prova;Tp Sexo;Tx Gabarito Ch;Tx Gabarito Cn;Tx Gabarito Lc;Tx Gabarito Mt;Tx Respostas Ch;Tx Respostas Cn;Tx Respostas Lc;Tx Respostas Mt;Co Prova Ch;Co Prova Cn;Co Prova Lc;Co Prova Mt;Co Uf Prova;In Aprovado Ch;In Aprovado Cn;In Aprovado Lc;In Aprovado Mt;In Prova Ch;In Prova Cn;In Prova Lc;In Prova Mt;Idade;Nu Inscricao;Nota Ch;Nota Cn;Nota Lc;Nota Mt;Q10;Q11;Q12;Q13;Q14;Q22;Q23;Q24;Q25;Q26;Q27;Q28;Q29;Q30;Q41;Q42;Q43;Q44;Q45;Q46;Q47;Tp Certificacao;Tp Presenca Ch;Tp Presenca Cn;Tp Presenca Lc;Tp Presenca Mt;Tp Status Redacao
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ANANINDEUA;2019;1.6;1.6;1.6;1.6;1.8;8.2;B;A;B;G;C;B;B;A;H;B;A;C;C;C;J;F;A;;B;;B;B;A;A;B;B;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;;DABCCDBBACBBCDAAABADDCCACAACBC;CCDBBDDBDCDDBCCCCBBCBDDDBDDAAD;ADBABCCCAABADBADBBBCACBBCADACC;;201912;201909;201911;;15;1;1;1;;1;1;1;0;28;1,80004E+11;149;132;134;;5;4;2;3;0;5;3;4;5;0;5;5;5;5;0;0;0;3;5;0;0;2;1;1;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS BELÉM;2019;1.6;1.8;1.2;1.4;1.8;7.8;C;A;B;C;C;C;B;A;K;E;B;C;A;C;J;E;A;;B;;B;B;B;A;B;B;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;;DDBCCABCACBBBDAACBBDDCCDCAACBA;BDDACACBCCBBBCCCDBACBCDDADDDAD;ACBABDCDAABADAADBCDCCDBBCADBCC;;201912;201909;201911;;15;1;1;1;;1;1;1;0;21;1,80005E+11;136;143;123;;5;5;5;5;5;5;5;5;2;0;5;5;5;3;0;3;0;5;5;2;0;2;1;1;1;;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.6;1.6;1.8;1.6;2;8.6;B;C;B;G;A;B;A;A;J;A;C;A;A;D;G;E;A;;B;;B;B;B;A;B;B;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;;DABCCDBACCCBCCACBBAABACACABDCA;AADCCBCBCBDABDCCACAABCBCDD*CDD;AABDBDDCAADADACDBADCDDBACADADC;;201912;201909;201911;;15;1;1;1;;1;1;1;0;19;1,80004E+11;107;110;122;;5;5;5;5;5;5;3;5;3;0;5;3;5;3;0;0;2;3;5;2;0;2;1;1;1;;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.2;1.6;1.4;1.2;1.6;7;C;A;B;A;A;C;B;A;H;A;B;A;C;D;H;E;A;;B;;B;A;B;A;B;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;;;CABBBADADCBAACBAAACCCCDBBADCDC;CAADCDDDACBABCADCBACBCBACACDAC;;;201911;201910;15;;;1;0;0;0;1;1;32;1,80005E+11;;;106;93;5;5;5;5;5;5;2;5;5;1;5;5;5;1;0;0;0;5;5;5;0;2;;;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ANANINDEUA;2019;1;1.6;1.2;1.4;0;5.2;B;B;B;C;C;B;B;A;L;C;A;C;C;E;L;E;A;;B;;B;A;B;A;B;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;;;DDBCBAADAABBDDAABBBDCCBACADBCC;AAACADCAADDABCBCBACAAADBAAAABA;;;201911;201910;15;;;1;1;0;0;1;1;25;1,80006E+11;;;122;108;3;3;1;3;0;5;5;5;5;0;3;3;4;0;0;2;0;5;5;0;5;2;;;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.6;0.4;1.6;1.6;0;5.2;B;A;B;G;A;C;A;A;J;A;A;A;A;D;K;G;A;;A;;A;B;B;B;A;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;;;ABBABACAABABBCDABCDDCDABCADDDC;ABCCCDACBDCABDCAADBADBCACBBCCA;;;201911;201910;15;;;1;0;0;0;1;1;40;1,80006E+11;;;108;89;3;2;2;3;2;3;2;3;3;3;2;3;3;3;4;3;2;3;2;1;2;2;;;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS CASTANHAL;2019;1.2;1.6;1.2;1.2;0.6;5.8;B;A;B;G;F;B;A;A;L;A;A;A;A;A;K;H;A;;A;;B;B;B;A;A;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;;;CBBDBCCCAADBDBCBCAACDADBCBDACC;BDACCACADABABCAAAAACBCCABBCBDB;;;201911;201910;15;;;1;0;0;0;1;1;41;1,80005E+11;;;118;82;0;0;5;5;2;5;5;5;0;2;5;5;5;0;0;0;4;0;5;0;0;2;;;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS PARAUAPEBAS;2019;1.4;1.4;1;1.2;1.6;6.6;C;A;B;F;A;B;B;A;B;D;B;D;A;B;I;F;A;;B;;B;B;B;A;B;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;;;ACCABDCDABBADDCABBDBCDAACADACD;DBCDCADDBDBAADDACCBAABCADCCBCC;;;201911;201910;15;;;1;0;0;0;1;1;32;1,80005E+11;;;110;87;5;5;5;5;4;5;1;5;3;1;5;2;5;5;1;5;0;4;5;5;0;2;;;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS BELÉM;2019;1.2;1.6;1.4;1.4;2;7.6;B;C;B;A;B;B;B;A;J;A;A;A;A;A;J;G;A;;B;;B;B;B;A;B;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;;;CBBACDACACBAABBDADACDDDBCADBCC;AB*BAACDDADBBCBDCABBACCAABCAAD;;;201911;201910;15;;;1;0;0;0;1;1;32;1,80005E+11;;;110;83;0;0;0;0;0;5;1;5;0;0;1;5;5;0;0;0;0;0;2;0;0;2;;;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS PARAUAPEBAS;2019;1.6;1.4;1.2;1.6;0;5.8;C;A;B;A;A;C;B;A;E;E;B;A;A;C;I;F;A;;B;;B;B;B;A;B;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;;;ACBAAABAAADAABCAAADBCBBBCADBCC;BDBBDDCBADDDBCDACACCBCDCABCCAD;;;201911;201910;15;;;1;1;0;0;1;1;38;1,80005E+11;;;119;115;5;5;4;2;2;5;3;5;5;0;5;3;5;5;0;0;0;5;5;0;0;2;;;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ANANINDEUA;2019;1.4;1.6;1.4;1.2;0;5.6;B;B;B;C;A;C;A;A;J;C;A;A;C;C;A;A;A;;A;;B;B;B;B;B;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;;;ABBBBAAACADBBBACBDCCDCABCADDDC;BDCBCDBDBADBBCDDCADCBCCBBAADDD;;;201911;201910;15;;;1;1;0;0;1;1;38;1,80006E+11;;;119;117;3;1;5;5;4;5;3;3;0;0;2;5;3;5;0;0;0;0;0;0;0;2;;;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS CASTANHAL;2019;1.6;1.6;1.8;1.8;1.8;8.6;B;A;B;C;C;B;B;A;J;A;B;D;C;E;I;F;A;;B;;B;B;B;B;A;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;;;ADBCBCCDDDDBACAABADDDDBBDADBCC;ACCBADBDCAADBCDCADABBCBADD*BAC;;;201911;201910;15;;;1;0;0;0;1;1;23;1,80005E+11;;;123;98;5;5;5;5;5;5;5;5;3;4;4;5;5;5;0;0;4;4;0;0;0;2;;;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ANANINDEUA;2019;1.2;1.8;1.4;1.2;0;5.6;B;A;B;C;A;B;B;A;E;E;B;A;C;C;I;H;A;;B;;B;B;B;B;B;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;;;BBBACBCDDBADDADCABBDCCABAACBAC;CCBDDDCCCBDCADCCBCBCDACBCCBAAD;;;201911;201910;15;;;0;0;0;0;1;1;43;1,80006E+11;;;90;89;5;5;5;5;5;5;5;5;5;0;5;5;5;5;5;5;5;5;5;5;5;2;;;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ANANINDEUA;2019;1.4;1.6;1.4;1.4;0;5.8;C;C;B;G;E;E;C;A;K;A;D;C;D;D;J;F;A;;B;;B;B;B;B;A;B;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;DCBCBCBBACCBCCBCABACDCABCCBACC;;AABCCBCBBDBDADABCBBDADCCCBBDCC;;201912;;201911;;15;1;;1;;1;0;1;0;26;1,80004E+11;105;;104;;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;1;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS SANTARÉM;2019;1.6;1.8;1.4;1.4;1.6;7.8;B;A;B;C;C;A;B;A;L;A;C;D;A;A;J;F;A;;B;;B;B;A;A;B;B;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;CCBBABCACCBBAADCBABADCCACCBCDD;;BCBBBCCDAABCDBBDBADCDDBBDADBCC;CACBCAACDCBDBCACADCAACCACCCBDC;201912;;201911;201910;15;0;;1;0;1;0;1;1;26;1,80005E+11;99;;114;73;5;5;5;5;5;5;5;5;4;0;5;5;5;3;1;1;0;5;5;0;0;2;1;;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.2;0.8;1;1;0;4;B;B;B;G;B;B;B;A;I;E;B;A;A;C;J;F;A;;B;;B;B;A;B;B;B;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DCBDAABACACBCBCAADAADBBCABAABA;;BCDAAAACDCDCACCDBAACBDBDCAA*AD;CADCDAAAAAADDBADDAADADDACADDCC;201912;;201911;201910;15;0;;0;0;1;0;1;1;34;1,80005E+11;98;;89;87;5;5;5;5;5;5;1;5;5;0;5;5;5;1;0;5;0;5;5;5;0;2;1;;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.6;1.4;1.2;1.4;1.8;7.4;C;A;B;C;A;C;B;A;K;E;A;A;D;C;K;F;A;;B;;A;A;B;B;B;A;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;BCBCAABCCCBBBDADAAAADDCADDCCBD;;ACBDCDDBBDDDDBCABCDACCDBCAADDC;CACAADCABBDBACDCBDCAAACDCBBDCC;201912;;201911;201910;15;1;;1;0;1;0;1;1;21;1,80005E+11;111;;109;94;5;4;5;5;5;5;5;5;5;0;5;5;5;5;0;0;0;5;0;0;2;2;1;;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1;1.4;1;1.2;0;4.6;B;A;A;A;A;A;A;A;I;B;A;A;C;A;G;B;A;;A;;B;B;B;B;B;B;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DCBDABCDDDBDCABDDACBBDCADABCBA;;ACDABCBABBABDABCACAADBDACAABBA;CDACAABBDBDBACBDCCBBADCACDABAB;201912;;201911;201910;15;0;;0;0;1;0;1;1;43;1,80005E+11;99;;82;84;5;5;5;5;5;5;5;5;5;1;5;5;5;5;1;1;1;5;0;0;0;2;1;;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ITAITUBA;2019;1;0.4;1;1;0;3.4;B;A;B;F;F;B;B;A;I;B;A;A;B;C;J;F;A;;B;;B;B;B;B;B;B;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;ABBCDBCDAAABDBADBBBDBCACBBCDBA;;BAACDABCDABDBBCDAADCCCDACBBDDB;DDACCCBCDBDABCCABDBCCDAACCBCCD;201912;;201911;201910;15;0;;0;0;1;0;1;1;47;1,80006E+11;92;;86;74;5;5;5;5;2;5;5;5;0;0;5;5;5;5;0;0;0;0;0;0;0;2;1;;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.4;0.8;1.2;1.4;0;4.8;C;A;B;A;A;B;B;A;I;E;A;A;A;A;I;H;A;;B;;B;B;B;B;B;B;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DCBCCAACDBCBCADCBCBACDBCACABDA;;ADDBACABABABDACBCDDDDBBCB.CADC;AADADBABDDDBCCAAABBABCCCCCDDBB;201912;;201911;201910;15;0;;0;0;1;0;1;1;44;1,80004E+11;89;;78;73;5;5;5;5;3;5;5;5;5;0;5;5;5;5;0;0;0;4;2;1;0;2;1;;1;1;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.6;1.8;1.6;1.6;2;8.6;C;A;B;G;G;B;B;A;I;D;B;A;A;C;J;B;A;;B;;B;B;B;B;B;B;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;;ADBCBDCCDADABDAABBBCDCBBCBDACC;BAADADDBCBCABBDBCABCBBDBBDACAA;DCBDAABCDCABCCDBDBBDDBABDCACBC;;BDDBCCCACDDABDBCDADDDDBDDBDACC;BBBBBAABDBCBABCCCCCABDCACDCBAC;201912;;201911;201910;15;1;;1;0;1;0;1;1;34;1,80006E+11;108;;110;81;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;3;0;2;1;;1;1;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS BELÉM;2019;1.6;1.6;1.6;1.6;2;8.4;B;A;B;C;G;C;C;A;K;E;A;A;C;B;J;F;B;;;;;;;;;;;PA;M;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;CCBABAACADBADABBABDCACDBCADCCC;;;;201911;;15;;;1;;0;0;1;0;42;1,80005E+11;;;111;;5;5;5;5;5;5;2;5;4;0;5;3;2;5;0;0;5;5;0;4;1;2;;;1;;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DE TOCANTINS;2019;1.2;1.4;1.4;1.4;0;5.4;C;C;B;B;B;C;B;A;C;D;A;A;C;E;J;F;A;;A;;A;A;A;A;B;B;;PA;M;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;ABBABDCACCAAABBCBAACCACACBDDDC;;;;201911;;15;;;1;;0;0;1;0;24;1,80004E+11;;;109;;5;5;5;5;5;5;5;5;5;1;5;5;5;5;0;0;1;5;5;3;1;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ABAETETUBA;2019;1.6;1.6;1.4;1.6;1.8;8;B;A;A;G;G;B;A;A;A;A;A;C;B;C;K;F;A;;A;;A;B;A;B;B;B;;PA;M;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;ACBBDDDADCDADAAABADCCBABCADBCC;;;;201911;;15;;;1;;0;0;1;0;41;1,80005E+11;;;120;;5;5;5;5;5;5;5;5;5;1;5;5;5;5;1;5;1;1;1;1;1;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS SANTARÉM;2019;1.4;1;1.2;1.6;0.8;6;B;C;B;G;B;B;B;A;D;E;C;A;B;C;I;E;A;;B;;A;B;A;B;B;B;;PA;M;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;BBBDBDCDABDDDCBCDBDCAAAACADDAC;;;;201911;;15;;;1;;0;0;1;0;25;1,80006E+11;;;108;;5;5;4;4;5;5;4;5;3;1;4;4;5;4;3;4;3;5;2;4;2;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS CONCEIÇÃO DO ARAGUAIA;2019;1.4;1.6;1.4;1.6;0;6;B;A;A;D;C;C;C;A;K;E;A;A;C;B;L;F;A;;B;;B;B;A;A;B;B;;PA;M;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;BCBDBCDAAADAADAABBDCDABBCADDCC;;;;201911;;15;;;1;;0;0;1;0;35;1,80005E+11;;;126;;1;2;1;1;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;;;1;;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.2;1.6;1.4;1.4;2;7.6;B;A;B;G;G;B;B;A;H;A;A;A;B;A;K;F;A;;B;;A;A;B;A;B;B;;PA;M;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;ABBADDAABACDDABCDAAABACDACABCA;;;;201911;;15;;;0;;0;0;1;0;26;1,80004E+11;;;77;;5;5;5;5;5;5;5;5;5;1;5;5;5;5;2;2;2;5;1;1;1;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ALTAMIRA;2019;1.2;1.6;1.2;1.2;0;5.2;A;B;B;D;B;B;B;A;D;E;B;A;C;C;J;F;A;;B;;A;B;B;A;B;B;;PA;M;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;ACBBBADABBDBDABCCDBDBACBDBCBAA;;;;201911;;15;;;0;;0;0;1;0;25;1,80004E+11;;;88;;5;3;5;5;4;5;4;5;4;2;3;5;5;4;5;3;3;4;2;3;2;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ALTAMIRA;2019;1.2;0.4;1.4;1.2;0.8;5;C;C;A;F;E;A;A;A;F;A;A;A;A;A;K;G;A;;A;;B;B;B;A;B;B;;PA;M;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;ABBCBDABADAADCCDBDDDCDBBCBDDCC;;;;201911;;15;;;1;;0;0;1;0;33;1,80004E+11;;;116;;3;3;4;3;2;3;2;5;5;0;5;5;5;3;0;4;0;5;4;3;0;2;;;1;;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.6;1.4;1.2;1.4;0;5.6;B;A;B;A;A;F;D;A;E;D;D;D;A;B;K;E;A;;B;;B;B;B;B;A;B;;PA;M;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;ABBDBCCBDADABDAABABCDCBBCADACC;;;;201911;;15;;;1;;0;0;1;0;66;1,80004E+11;;;141;;5;5;0;0;0;5;0;5;0;4;3;0;0;5;0;0;5;1;0;0;0;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS BELÉM;2019;1.2;1.6;1.4;1.2;0;5.4;C;C;B;B;B;B;B;A;D;D;B;A;C;D;K;F;A;;B;;B;B;B;B;A;B;;PA;M;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;ACBADDBCDADBACDABBACCADBCBAACC;;;;201911;;15;;;1;;0;0;1;0;30;1,80005E+11;;;121;;5;5;5;5;5;5;2;5;0;0;4;5;5;5;0;0;1;5;0;4;0;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ANANINDEUA;2019;1.4;1.8;1.4;1.4;0;6;B;A;B;F;F;C;C;A;D;A;A;A;D;D;K;G;A;;B;;B;B;B;B;B;B;;PA;M;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;ABBD*DCCAABAABDABCCBDCBBCBDACC;;;;201911;;15;;;1;;0;0;1;0;46;1,80004E+11;;;127;;5;5;5;5;5;5;5;5;5;1;5;5;5;5;1;5;0;0;0;5;0;2;;;1;;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.4;1.6;1.2;1.2;1.6;7;C;A;B;F;G;B;B;A;K;E;A;A;A;C;J;F;A;;B;;B;B;B;B;B;B;;PA;M;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;DBBABCCCDBDADDAABADCDABBCDABCD;;;;201911;;15;;;1;;0;0;1;0;30;1,80004E+11;;;118;;5;5;5;5;3;5;3;5;4;0;5;5;5;2;0;5;0;3;0;0;0;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS SANTARÉM;2019;1.8;1.8;1.6;1.8;2;9;B;C;B;B;B;C;B;A;D;D;B;A;B;B;L;E;A;;B;;B;B;B;B;B;B;;PA;M;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;CCBBCDDCBADDBBCDADACCDDDCADDCC;;;;201911;;15;;;1;;0;0;1;0;21;1,80005E+11;;;112;;5;5;5;5;5;5;5;5;1;0;5;5;5;5;0;4;1;2;0;0;0;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS BELÉM;2019;1.2;1.6;1.4;1.2;1.4;6.8;C;C;B;G;C;C;C;A;D;A;D;A;B;B;J;G;A;;B;;B;B;B;B;B;B;;PA;M;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;BBBDACCBDBDBBDDCBDCCBCCBCADACC;;;;201911;;15;;;1;;0;0;1;0;30;1,80006E+11;;;118;;5;5;5;5;4;5;5;5;4;3;5;5;4;5;3;2;2;4;1;1;1;2;;;1;;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.6;1.8;1.6;1.6;1.6;8.2;C;B;B;C;C;B;B;A;K;E;D;D;A;D;K;H;A;;B;;B;B;B;A;B;B;;PA;F;;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;;CCBDBCCADDDACCACBADCCDBACADBCC;;;;201911;;15;;;1;;0;0;1;0;35;1,80005E+11;;;118;;5;5;5;5;5;5;4;5;0;0;5;5;5;5;0;0;0;4;4;0;0;2;;;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS TUCURUÍ;2019;1.4;1.6;1.2;1.2;0;5.4;C;A;B;A;F;C;C;A;D;B;A;A;C;C;I;E;A;;A;;B;B;B;B;B;B;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;CCBCAABCADBBBDABABBDDABDDACDCB;;DCDDBCDBBBDADDDABDDDCDDBDADACC;;201912;;201911;;15;1;;1;;1;0;1;0;33;1,80004E+11;101;;111;;5;5;5;5;5;5;5;5;5;5;3;5;5;5;0;2;2;5;0;5;0;2;1;;1;;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.2;1.2;1.2;1.2;1.6;6.4;C;A;B;G;G;B;B;A;K;B;D;A;A;C;K;F;A;;B;;B;B;B;B;B;B;;PA;F;DABCCBBBADBBCDAADBADDCCBCAACBC;;ADBCBDCCDADABDAABBBCDCBBCBDACC;;DABCADBAADABAAADDCCCDACADBCCCA;;CDBBBABABBABABAABDAADDDBBBBBAC;;201912;;201911;;15;1;;1;;1;0;1;0;36;1,80005E+11;108;;100;;5;5;5;5;5;5;5;5;5;0;5;5;5;5;5;5;2;5;4;2;0;2;1;;1;;1
SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;2019;1.6;1.6;1.4;1.6;2;8.2;B;A;B;B;F;B;B;A;K;B;B;B;C;C;L;F;A;;A;;B;B;B;B;B;B;;PA;F;;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;DCDDCDCBBCDABCCDADCABCBCCDDBCA;ABBDBACDDCDADDBBDCDBCBBACBBDCC;;;201909;201911;;15;;1;1;;0;1;1;0;26;1,80005E+11;;117;112;;4;5;5;4;5;5;3;5;4;0;4;4;2;5;2;2;0;3;0;2;0;2;;1;1;;1
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO PARÁ - CAMPUS ANANINDEUA;2019;1.4;1.6;1.4;1.4;0;5.8;C;A;A;G;A;B;B;A;E;C;B;A;B;D;L;G;A;;B;;B;B;B;B;A;B;;PA;F;;CAADDBABCCDBBCCCCBDBAABDADDDAB;ADBCBDCCDADABDAABBBCDCBBCBDACC;;;ABCADDADCBDAADBACCBCBDCDDAADDC;BBDACADBADAC.DCABAACDCCACACBAC;;;201909;201911;;15;;0;0;;0;1;1;0;43;1,80006E+11;;87;99;;5;5;5;5;2;5;5;5;5;1;5;5;5;5;0;0;0;3;0;0;0;2;;1;1;;1
